Device_Name,Region,Sales_Month,Units_Sold,Revenue_USD
OrthoKnee,North America,8/31/2022,333,750249
OrthoKnee,Latin America,9/30/2022,466,977668
OrthoKnee,North America,10/31/2022,395,1143525
OrthoKnee,Europe,11/30/2022,443,1249703
OrthoKnee,North America,12/31/2022,438,1173840
OrthoKnee,Europe,1/31/2023,317,887600
OrthoKnee,North America,2/28/2023,297,865755
OrthoKnee,Asia-Pacific,3/31/2023,385,821590
OrthoKnee,Europe,4/30/2023,377,766064
OrthoKnee,Europe,5/31/2023,436,1256552
OrthoKnee,Europe,6/30/2023,271,744979
OrthoKnee,Europe,7/31/2023,479,1132356
OrthoKnee,Europe,8/31/2023,257,586474
OrthoKnee,Europe,9/30/2023,270,755190
OrthoKnee,Asia-Pacific,10/31/2023,360,1065240
OrthoKnee,North America,11/30/2023,310,872650
OrthoKnee,Europe,12/31/2023,284,622244
OrthoKnee,Latin America,1/31/2024,266,577486
OrthoKnee,Latin America,2/29/2024,470,961150
OrthoKnee,North America,3/31/2024,348,1006068
OrthoKnee,Europe,4/30/2024,273,641004
OrthoKnee,Latin America,5/31/2024,430,1120580
OrthoKnee,North America,6/30/2024,474,1002510
OrthoKnee,Asia-Pacific,7/31/2024,462,1352274
OrthoKnee,North America,8/31/2024,316,672132
OrthoKnee,Asia-Pacific,9/30/2024,483,1320522
OrthoKnee,North America,10/31/2024,316,907236
OrthoKnee,Asia-Pacific,11/30/2024,363,830181
OrthoKnee,North America,12/31/2024,400,1184400
HeartValvePro,Asia-Pacific,1/31/2022,81,630504
HeartValvePro,North America,2/28/2022,88,637560
HeartValvePro,Europe,3/31/2022,121,1186526
HeartValvePro,Europe,4/30/2022,129,1021680
HeartValvePro,North America,5/31/2022,139,1185531
HeartValvePro,North America,6/30/2022,115,883660
HeartValvePro,North America,7/31/2022,87,831633
HeartValvePro,Asia-Pacific,8/31/2022,93,741303
HeartValvePro,Europe,9/30/2022,94,762810
HeartValvePro,Asia-Pacific,10/31/2022,111,1084914
HeartValvePro,Latin America,11/30/2022,130,984620
HeartValvePro,Asia-Pacific,12/31/2022,101,945461
HeartValvePro,North America,1/31/2023,128,1115520
HeartValvePro,Europe,2/28/2023,94,759238
HeartValvePro,North America,3/31/2023,87,747765
HeartValvePro,North America,4/30/2023,84,682584
HeartValvePro,Europe,5/31/2023,126,1249164
HeartValvePro,Latin America,6/30/2023,131,1271093
HeartValvePro,Asia-Pacific,7/31/2023,109,946338
HeartValvePro,Europe,8/31/2023,142,1251020
HeartValvePro,North America,9/30/2023,134,1121446
HeartValvePro,Europe,10/31/2023,141,1387158
HeartValvePro,North America,11/30/2023,91,729092
HeartValvePro,North America,12/31/2023,80,787920
HeartValvePro,Latin America,1/31/2024,127,950849
HeartValvePro,Asia-Pacific,2/29/2024,80,656960
HeartValvePro,Europe,3/31/2024,142,1076360
HeartValvePro,North America,4/30/2024,146,1044338
HeartValvePro,North America,5/31/2024,136,1121048
HeartValvePro,Europe,6/30/2024,141,1050732
HeartValvePro,Europe,7/31/2024,127,1192276
HeartValvePro,Europe,8/31/2024,112,980784
HeartValvePro,Europe,9/30/2024,89,781509
HeartValvePro,Latin America,10/31/2024,113,1108417
HeartValvePro,Asia-Pacific,11/30/2024,80,641200
HeartValvePro,Latin America,12/31/2024,83,816637
NeuroStim,Asia-Pacific,1/31/2022,51,484296
NeuroStim,Europe,2/28/2022,81,797931
NeuroStim,North America,3/31/2022,99,1131273
NeuroStim,Europe,4/30/2022,92,978512
NeuroStim,Asia-Pacific,5/31/2022,50,522000
NeuroStim,North America,6/30/2022,92,854128
NeuroStim,Europe,7/31/2022,80,923680
NeuroStim,Asia-Pacific,8/31/2022,72,856512
NeuroStim,North America,9/30/2022,78,828750
NeuroStim,Asia-Pacific,10/31/2022,90,884250
NeuroStim,North America,11/30/2022,94,884728
NeuroStim,Europe,12/31/2022,74,873792
NeuroStim,Europe,1/31/2023,86,989344
NeuroStim,Europe,2/28/2023,84,850248
NeuroStim,Asia-Pacific,3/31/2023,67,670536
NeuroStim,Latin America,4/30/2023,73,854830
NeuroStim,Asia-Pacific,5/31/2023,86,907128
NeuroStim,North America,6/30/2023,84,829248
NeuroStim,Europe,7/31/2023,98,1088682
NeuroStim,North America,8/31/2023,74,767010
NeuroStim,North America,9/30/2023,68,763232
NeuroStim,North America,10/31/2023,90,816750
NeuroStim,Asia-Pacific,11/30/2023,77,748209
NeuroStim,North America,12/31/2023,68,706520
NeuroStim,North America,1/31/2024,54,507330
NeuroStim,Asia-Pacific,2/29/2024,70,711690
NeuroStim,Latin America,3/31/2024,94,946110
NeuroStim,Europe,4/30/2024,63,606879
NeuroStim,North America,5/31/2024,72,700704
NeuroStim,North America,6/30/2024,67,653250
NeuroStim,Europe,7/31/2024,59,587227
NeuroStim,Europe,8/31/2024,87,917154
NeuroStim,North America,9/30/2024,89,998313
NeuroStim,North America,10/31/2024,76,887756
NeuroStim,Latin America,11/30/2024,78,814710
NeuroStim,North America,12/31/2024,97,1007636
